Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
TLRD,"Tailored Brands, Inc.",22.7,$1.13B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/tlrd,#VALUE!
CMCM,Cheetah Mobile Inc.,8,$1.14B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cmcm,#VALUE!
EEX,"Emerald Expositions Events, Inc.",15.62,$1.14B,2017,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/eex,#VALUE!
ETV,Eaton Vance Corporation,16.05,$1.14B,2005,n/a,n/a,https://www.nasdaq.com/symbol/etv,#VALUE!
TIER,"TIER REIT, Inc.",23.84,$1.14B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/tier,#VALUE!
JOE,St. Joe Company (The),17.75,$1.15B,n/a,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/joe,#VALUE!
TR,"Tootsie Roll Industries, Inc.",29.7,$1.16B,n/a,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/tr,#VALUE!
BIF,"USLIFE Income Fund, Inc.",11.05,$1.17B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bif,#VALUE!
CTS,CTS Corporation,35.45,$1.17B,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/cts,#VALUE!
ENVA,"Enova International, Inc.",34.4,$1.17B,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/enva,#VALUE!
GCI,TEGNA Inc.,10.38,$1.17B,2015,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/gci,#VALUE!
GTY,Getty Realty Corporation,29.07,$1.17B,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/gty,#VALUE!
HTGC,"Hercules Capital, Inc.",13.44,$1.17B,2012,n/a,n/a,https://www.nasdaq.com/symbol/htgc,#VALUE!
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,9.78,$1.17B,2017,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/loma,#VALUE!
CRY,"CryoLife, Inc.",32.1,$1.18B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cry,#VALUE!
PJC,Piper Jaffray Companies,77.35,$1.18B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/pjc,#VALUE!
