Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
MTN,"Vail Resorts, Inc.",290.22,$11.7B,1997,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/mtn,#VALUE!
MOS,Mosaic Company (The),30.64,$11.81B,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/mos,#VALUE!
UHS,"Universal Health Services, Inc.",125.11,$11.81B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/uhs,#VALUE!
PVH,PVH Corp.,154.02,$11.87B,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/pvh,#VALUE!
MAS,Masco Corporation,38.25,$11.88B,n/a,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/mas,#VALUE!
SQM,Sociedad Quimica y Minera S.A.,45.14,$11.88B,1993,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/sqm,#VALUE!
LLY,Eli Lilly and Company,102.44,$110.02B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lly,#VALUE!
UNP,Union Pacific Corporation,150.19,$111.06B,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/unp,#VALUE!
ABT,Abbott Laboratories,63.63,$111.56B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,#VALUE!
MO,Altria Group,59.21,$111.62B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo,#VALUE!
RY,Royal Bank Of Canada,78.06,$112.57B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/ry,#VALUE!
SNP,China Petroleum & Chemical Corporation,93.55,$113.26B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/snp,#VALUE!
HON,Honeywell International Inc.,154.13,$114.46B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/hon,#VALUE!
BBL,BHP Billiton plc,43.6,$116.06B,n/a,Energy,Coal Mining,https://www.nasdaq.com/symbol/bbl,#VALUE!
NVO,Novo Nordisk A/S,48.35,$116.9B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvo,#VALUE!
MMM,3M Company,200.52,$117.63B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,#VALUE!
KORS,Michael Kors Holdings Limited,73.29,$11B,2011,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/kors,#VALUE!
DPZ,Domino&#39;s Pizza Inc,287.51,$12.04B,2004,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dpz,#VALUE!
DOV,Dover Corporation,81.78,$12.08B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dov,#VALUE!
NLY,Annaly Capital Management Inc,10.46,$12.13B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly,#VALUE!
CNA,CNA Financial Corporation,44.74,$12.14B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cna,#VALUE!
CNP,"CenterPoint Energy, Inc.",28.13,$12.14B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cnp,#VALUE!
ABX,Barrick Gold Corporation,10.41,$12.15B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/abx,#VALUE!
HFC,HollyFrontier Corporation,69.03,$12.19B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hfc,#VALUE!
VEEV,Veeva Systems Inc.,84.98,$12.19B,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/veev,#VALUE!
EQH,"AXA Equitable Holdings, Inc.",21.87,$12.27B,2018,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/eqh,#VALUE!
HCP,"HCP, Inc.",26.28,$12.35B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hcp,#VALUE!
ROL,"Rollins, Inc.",56.75,$12.38B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/rol,#VALUE!
XPO,"XPO Logistics, Inc.",102.61,$12.38B,n/a,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/xpo,#VALUE!
AEG,Aegon NV,6.12,$12.51B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg,#VALUE!
URI,"United Rentals, Inc.",151.21,$12.51B,1997,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/uri,#VALUE!
COO,"The Cooper Companies, Inc. ",254.97,$12.52B,n/a,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/coo,#VALUE!
CPB,Campbell Soup Company,41.75,$12.55B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/cpb,#VALUE!
SJM,J.M. Smucker Company (The),111.44,$12.65B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/sjm,#VALUE!
WLK,Westlake Chemical Corporation,97.69,$12.66B,2004,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/wlk,#VALUE!
ECA,Encana Corporation,13.25,$12.67B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eca,#VALUE!
GPS,"Gap, Inc. (The)",32.7,$12.67B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/gps,#VALUE!
DVA,DaVita Inc.,72.18,$12.6B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/dva,#VALUE!
KOF,Coca Cola Femsa S.A.B. de C.V.,60.62,$12.74B,1993,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/kof,#VALUE!
MLM,"Martin Marietta Materials, Inc.",202.75,$12.76B,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/mlm,#VALUE!
M,Macy&#39;s Inc,41.82,$12.81B,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/m,#VALUE!
ADS,Alliance Data Systems Corporation,231.43,$12.82B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads,#VALUE!
ARE,"Alexandria Real Estate Equities, Inc.",124.5,$12.82B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are,#VALUE!
IT,"Gartner, Inc.",140.93,$12.86B,1993,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/it,#VALUE!
KMX,CarMax Inc,72.84,$12.86B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kmx,#VALUE!
GDDY,GoDaddy Inc.,75.86,$12.96B,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/gddy,#VALUE!
AJG,Arthur J. Gallagher & Co.,70.66,$12.9B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ajg,#VALUE!
BTI,British American Tobacco p.l.c.,53.35,$122.37B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/bti,#VALUE!
MDT,Medtronic plc,91.05,$123.07B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/mdt,#VALUE!
MCD,McDonald&#39;s Corporation,160.6,$126.1B,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/mcd,#VALUE!
PM,Philip Morris International Inc,82.31,$127.95B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/pm,#VALUE!
NKE,"Nike, Inc.",80.14,$128.27B,n/a,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/nke,#VALUE!
ATUS,"Altice USA, Inc.",17.74,$13.08B,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus,#VALUE!
FNV,Franco-Nevada Corporation,70.27,$13.08B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fnv,#VALUE!
WCG,"WellCare Health Plans, Inc.",292.36,$13.08B,2004,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/wcg,#VALUE!
FTI,TechnipFMC plc,28.89,$13.14B,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/fti,#VALUE!
KSS,Kohl&#39;s Corporation,78.93,$13.19B,1992,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/kss,#VALUE!
RJF,"Raymond James Financial, Inc.",90.58,$13.2B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/rjf,#VALUE!
EQT,EQT Corporation,50.36,$13.3B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eqt,#VALUE!
EDU,"New Oriental Education & Technology Group, Inc.",85.09,$13.42B,2006,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/edu,#VALUE!
XYL,Xylem Inc.,74.75,$13.45B,2011,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/xyl,#VALUE!
SHOP,Shopify Inc.,144.38,$13.52B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/shop,#VALUE!
TECK,Teck Resources Ltd,23.85,$13.52B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/teck,#VALUE!
CHD,"Church & Dwight Company, Inc.",55.45,$13.57B,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/chd,#VALUE!
MHK,"Mohawk Industries, Inc.",181.86,$13.57B,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/mhk,#VALUE!
CMG,"Chipotle Mexican Grill, Inc.",493.32,$13.72B,2006,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/cmg,#VALUE!
DRI,"Darden Restaurants, Inc.",111.16,$13.73B,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dri,#VALUE!
ZTO,ZTO Express (Cayman) Inc.,19.35,$13.73B,2016,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/zto,#VALUE!
YUMC,"Yum China Holdings, Inc.",35.58,$13.74B,2016,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/yumc,#VALUE!
TRU,TransUnion,74.66,$13.79B,2015,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/tru,#VALUE!
CMS,CMS Energy Corporation,48.8,$13.82B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/cms,#VALUE!
FTS,Fortis Inc.,32.59,$13.85B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fts,#VALUE!
BLL,Ball Corporation,39.7,$13.86B,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/bll,#VALUE!
APO,"Apollo Global Management, LLC",34.39,$13.97B,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo,#VALUE!
VNO,Vornado Realty Trust,73.5,$13.98B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/vno,#VALUE!
IBM,International Business Machines Corporation,143.36,$130.89B,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/ibm,#VALUE!
BHP,BHP Billiton Limited,49.34,$131.33B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/bhp,#VALUE!
SAP,SAP SE,114.17,$136.25B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sap,#VALUE!
PTR,PetroChina Company Limited,74.54,$136.42B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ptr,#VALUE!
EMN,Eastman Chemical Company,99.04,$14.13B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/emn,#VALUE!
MTD,"Mettler-Toledo International, Inc.",562.11,$14.27B,1997,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/mtd,#VALUE!
LNC,Lincoln National Corporation,65.41,$14.31B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/lnc,#VALUE!
WRK,Westrock Company,55.9,$14.34B,2015,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/wrk,#VALUE!
CAG,"ConAgra Brands, Inc.",36.87,$14.41B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/cag,#VALUE!
GPC,Genuine Parts Company,98.27,$14.42B,n/a,Capital Goods,Automotive Aftermarket,https://www.nasdaq.com/symbol/gpc,#VALUE!
BSAC,Banco Santander Chile,30.79,$14.51B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bsac,#VALUE!
XL,XL Group Ltd.,56.36,$14.56B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/xl,#VALUE!
NBL,Noble Energy Inc.,30.3,$14.68B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbl,#VALUE!
VMC,Vulcan Materials Company,111.36,$14.72B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/vmc,#VALUE!
TI,Telecom Italia S.P.A.,6.94,$14.73B,n/a,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/ti,#VALUE!
WAT,Waters Corporation,188.34,$14.76B,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/wat,#VALUE!
DGX,Quest Diagnostics Incorporated,108.65,$14.85B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/dgx,#VALUE!
BP,BP p.l.c.,42.61,$141.91B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/bp,#VALUE!
HST,"Host Hotels & Resorts, Inc.",20.29,$15.04B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hst,#VALUE!
NMR,Nomura Holdings Inc ADR,4.49,$15.26B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nmr,#VALUE!
AGR,"Avangrid, Inc.",49.46,$15.28B,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/agr,#VALUE!
OMC,Omnicom Group Inc.,68.12,$15.28B,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/omc,#VALUE!
BR,"Broadridge Financial Solutions, Inc.",130.1,$15.34B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/br,#VALUE!
AEE,Ameren Corporation,63.1,$15.37B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee,#VALUE!
TPR,"Tapestry, Inc.",53.16,$15.3B,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/tpr,#VALUE!
RMD,ResMed Inc.,108.26,$15.45B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rmd,#VALUE!
SNN,"Smith & Nephew SNATS, Inc.",35.42,$15.49B,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/snn,#VALUE!
QSR,Restaurant Brands International Inc.,62.21,$15.53B,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/qsr,#VALUE!
CNHI,CNH Industrial N.V.,11.48,$15.58B,2013,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/cnhi,#VALUE!
EVRG,"Evergy, Inc.",57.44,$15.58B,2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/evrg,#VALUE!
CAH,"Cardinal Health, Inc.",50.17,$15.59B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/cah,#VALUE!
MSCI,MSCI Inc,175.44,$15.62B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/msci,#VALUE!
ESS,"Essex Property Trust, Inc.",236.8,$15.64B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ess,#VALUE!
SNAP,Snap Inc.,12.34,$15.67B,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/snap,#VALUE!
BCH,Banco De Chile,90.58,$15.69B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bch,#VALUE!
AWK,American Water Works,87.59,$15.6B,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk,#VALUE!
EFX,"Equifax, Inc.",129.52,$15.6B,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/efx,#VALUE!
CE,Celanese Corporation,116.71,$15.76B,2005,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ce,#VALUE!
CBRE,"CBRE Group, Inc.",46.92,$15.94B,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/cbre,#VALUE!
L,Loews Corporation,49.95,$15.95B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/l,#VALUE!
ABBV,AbbVie Inc.,95.92,$152.21B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,#VALUE!
UL,Unilever PLC,56.02,$152.45B,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ul,#VALUE!
UN,Unilever NV,56.37,$154.74B,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/un,#VALUE!
DWDP,DowDuPont Inc.,67.56,$156.79B,2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dwdp,#VALUE!
BUD,Anheuser-Busch Inbev SA,97.71,$157.09B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud,#VALUE!
TOT,Total S.A.,60.93,$159.34B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tot,#VALUE!
MKC,"McCormick & Company, Incorporated",122.07,$16.02B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/mkc,#VALUE!
SKM,"SK Telecom Co., Ltd.",25.33,$16.11B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/skm,#VALUE!
MGM,MGM Resorts International,28.98,$16.14B,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mgm,#VALUE!
MMP,Magellan Midstream Partners L.P.,70.71,$16.14B,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/mmp,#VALUE!
TIF,Tiffany & Co.,131.84,$16.18B,1987,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/tif,#VALUE!
O,Realty Income Corporation,57.08,$16.23B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/o,#VALUE!
GIB,"CGI Group, Inc.",65.07,$16.44B,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/gib,#VALUE!
LLL,"L3 Technologies, Inc.",209.86,$16.44B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/lll,#VALUE!
MKL,Markel Corporation,1184.56,$16.46B,1986,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mkl,#VALUE!
ETR,Entergy Corporation,83.98,$16.47B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/etr,#VALUE!
TXT,Textron Inc.,66.03,$16.4B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/txt,#VALUE!
DHI,"D.R. Horton, Inc.",43.99,$16.58B,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/dhi,#VALUE!
FRC,FIRST REPUBLIC BANK,102.83,$16.66B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc,#VALUE!
CMA,Comerica Incorporated,97.58,$16.68B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cma,#VALUE!
APA,Apache Corporation,43.9,$16.78B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa,#VALUE!
LEN,Lennar Corporation,50.99,$16.8B,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/len,#VALUE!
DIS,Walt Disney Company (The),112.75,$167.63B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/dis,#VALUE!
KEP,Korea Electric Power Corporation,13.31,$17.09B,1994,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/kep,#VALUE!
NOV,"National Oilwell Varco, Inc.",45.2,$17.27B,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nov,#VALUE!
FE,FirstEnergy Corp.,36.38,$17.35B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fe,#VALUE!
TSS,"Total System Services, Inc.",94.89,$17.3B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tss,#VALUE!
BEN,"Franklin Resources, Inc.",32.25,$17.42B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ben,#VALUE!
MRO,Marathon Oil Corporation,20.45,$17.45B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mro,#VALUE!
AME,"AMTEK, Inc.",75.82,$17.56B,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame,#VALUE!
KB,KB Financial Group Inc,44.5,$17.63B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/kb,#VALUE!
SHG,Shinhan Financial Group Co Ltd,37.76,$17.91B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/shg,#VALUE!
C,Citigroup Inc.,70.01,$176.19B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/c,#VALUE!
MRK,"Merck & Company, Inc.",66.46,$178.8B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrk,#VALUE!
BAP,Credicorp Ltd.,225.77,$18.01B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bap,#VALUE!
VIV,Telefonica Brasil S.A.,10.67,$18.02B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/viv,#VALUE!
SEP,"Spectra Energy Partners, LP",37.22,$18.05B,2007,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sep,#VALUE!
PBA,Pembina Pipeline Corp.,35.87,$18.09B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pba,#VALUE!
NEM,Newmont Mining Corporation,33.94,$18.1B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nem,#VALUE!
STM,STMicroelectronics N.V.,20.23,$18.23B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/stm,#VALUE!
HIG,"Hartford Financial Services Group, Inc. (The)",51.04,$18.29B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hig,#VALUE!
CLX,Clorox Company (The),141.84,$18.37B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/clx,#VALUE!
LH,Laboratory Corporation of America Holdings,180.59,$18.47B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/lh,#VALUE!
ABC,AmerisourceBergen Corporation (Holding Co),84.43,$18.56B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc,#VALUE!
TDG,Transdigm Group Incorporated,356.54,$18.69B,2006,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/tdg,#VALUE!
MGA,"Magna International, Inc.",54.01,$18.72B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/mga,#VALUE!
GPN,Global Payments Inc.,118.35,$18.88B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/gpn,#VALUE!
DVMT,Dell Technologies Inc.,94.86,$18.91B,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/dvmt,#VALUE!
TAL,TAL Education Group,33.42,$18.94B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/tal,#VALUE!
ETE,"Energy Transfer Equity, L.P.",17.59,$18.98B,2006,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ete,#VALUE!
TM,Toyota Motor Corp Ltd Ord,123.45,$181.45B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/tm,#VALUE!
HSBC,HSBC Holdings plc,46.02,$183.58B,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/hsbc,#VALUE!
CHL,China Mobile (Hong Kong) Ltd.,45.25,$185.3B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/chl,#VALUE!
HES,Hess Corporation,63.92,$19.18B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hes,#VALUE!
FLT,"FleetCor Technologies, Inc.",215.2,$19.29B,2010,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/flt,#VALUE!
PAA,"Plains All American Pipeline, L.P.",26.8,$19.45B,1998,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/paa,#VALUE!
CFG,"Citizens Financial Group, Inc.",40.4,$19.56B,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/cfg,#VALUE!
ES,Eversource Energy,61.8,$19.58B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/es,#VALUE!
HRS,Harris Corporation,164.9,$19.58B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/hrs,#VALUE!
PANW,"Palo Alto Networks, Inc.",210.8,$19.58B,2012,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/panw,#VALUE!
MSI,"Motorola Solutions, Inc.",121,$19.62B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/msi,#VALUE!
WPP,WPP plc,77.81,$19.64B,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/wpp,#VALUE!
HRL,Hormel Foods Corporation,37.24,$19.76B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/hrl,#VALUE!
TS,Tenaris S.A.,33.65,$19.86B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ts,#VALUE!
CBS,CBS Corporation,52.57,$19.92B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cbs,#VALUE!
AZO,"AutoZone, Inc.",754.87,$19.96B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/azo,#VALUE!
NVS,Novartis AG,82.14,$190.71B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvs,#VALUE!
ORCL,Oracle Corporation,48.23,$192.01B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/orcl,#VALUE!
BA,Boeing Company (The),339.14,$194.84B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/ba,#VALUE!
KO,Coca-Cola Company (The),45.89,$195.17B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/ko,#VALUE!
AWF,Alliance World Dollar Government Fund II,11.62,$1B,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf,#VALUE!
TPC,Tutor Perini Corporation,20.05,$1B,n/a,Basic Industries,General Bldg Contractors - Nonresidential Bldgs,https://www.nasdaq.com/symbol/tpc,#VALUE!
CUB,Cubic Corporation,73.9,$2.01B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cub,#VALUE!
DM,"Dominion Energy Midstream Partners, LP",15.95,$2.02B,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/dm,#VALUE!
HSC,Harsco Corporation,25.05,$2.02B,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/hsc,#VALUE!
BFR,BBVA Banco Frances S.A.,10,$2.04B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bfr,#VALUE!
OEC,Orion Engineered Carbons S.A,34.45,$2.04B,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/oec,#VALUE!
